instance_id,model_name,mean_accuracy_full,mapping_confidence,pool_config,n_variants,n_assigned,n_unassigned,m_accepted,all_unassigned,n_clusters_full,semantic_entropy_full,normalised_semantic_entropy_full,dominant_cluster_full,is_zero_entropy,n_variants_mesh,n_clusters_mesh,cluster_distribution,semantic_entropy_mesh,normalised_semantic_entropy_mesh,mean_accuracy_mesh,dominant_cluster_mesh,instability_flag
mm_0001903,Mistral-7B-Instruct-v0.1,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0753802,False,,,,,,,,
mm_0001903,PubMedBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1839576,True,6.0,1.0,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0.0
mm_0001924,BERT-base,0.0,1.0,sapbert_full_len3,6,6,0,5,False,2,0.6500224216483541,0.25146299858006066,C3850091,False,6.0,2.0,"{""C3850091"": 5, ""UMLS:C0242193"": 1}",0.6500224216483541,0.2514629985800606,0.0,C3850091,0.0
mm_0001924,BioBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1257990,True,6.0,1.0,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0.0
mm_0001924,BioMistral-7B,1.0,1.0,sapbert_full_len3,6,6,0,5,False,3,1.2516291673878228,0.4841962570206112,C0043210,False,,,,,,,,
mm_0001924,FLAN-T5-base,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,3,1.2516291673878228,0.4841962570206112,C3872897,False,,,,,,,,
mm_0001924,Llama3-OpenBioLLM-8B,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,3,1.584962500721156,0.6131471927654584,C0032042,False,,,,,,,,
mm_0001924,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,6,6,0,5,False,3,1.4591479170272446,0.5644754678724235,C3259042,False,,,,,,,,
mm_0001924,Mistral-7B-Instruct-v0.1,0.0,0.9999999403953552,sapbert_full_len3,6,6,0,5,False,2,0.9182958340544896,0.355245321275764,C0087111,False,,,,,,,,
mm_0001924,PubMedBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1839576,True,6.0,1.0,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0.0
mm_0002001,BERT-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1839576,True,7.0,1.0,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0.0
mm_0002001,BioBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1707887,True,7.0,1.0,"{""UMLS:C1707887"": 7}",-0.0,-0.0,0.0,UMLS:C1707887,0.0
mm_0002001,BioMistral-7B,0.0,0.9999998211860656,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1424622,True,,,,,,,,
mm_0002001,FLAN-T5-base,0.0,0.9999998807907104,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0444764,True,,,,,,,,
mm_0002001,Llama3-OpenBioLLM-8B,0.0,0.9999997615814208,sapbert_full_len3,7,7,0,6,False,2,0.863120568566631,0.30744974986419643,C0439669,False,,,,,,,,
mm_0002001,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0000768,True,,,,,,,,
mm_0002001,Mistral-7B-Instruct-v0.1,0.0,0.9999998211860656,sapbert_full_len3,7,7,0,6,False,4,1.9502120649147465,0.6946795539074094,C0444764,False,,,,,,,,
mm_0002001,PubMedBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1839576,True,7.0,1.0,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0.0
mm_0002381,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1739108,False,5.0,2.0,"{""UMLS:C1257990"": 2, ""C1739108"": 3}",0.9709505944546686,0.4181656600790516,0.0,C1739108,0.0
mm_0002381,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C5392105,True,5.0,1.0,"{""C5392105"": 5}",-0.0,-0.0,0.0,C5392105,0.0
mm_0002381,BioMistral-7B,1.0,0.9999999403953552,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0338656,True,,,,,,,,
mm_0002381,FLAN-T5-base,1.0,0.9999999403953552,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0338656,True,,,,,,,,
mm_0002381,Llama3-OpenBioLLM-8B,1.0,0.9999999403953552,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C0338656,False,,,,,,,,
mm_0002381,Meta-Llama-3-8B-Instruct,1.0,0.9999999403953552,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0338656,True,,,,,,,,
mm_0002381,Mistral-7B-Instruct-v0.1,1.0,0.9999999403953552,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C0338656,False,,,,,,,,
mm_0002381,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1839576,True,5.0,1.0,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0.0
mm_0003169,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1447749,True,5.0,1.0,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0.0
mm_0003169,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1447749,True,5.0,1.0,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0.0
mm_0003169,BioMistral-7B,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1438411,True,,,,,,,,
mm_0003169,FLAN-T5-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,3,1.5219280948873621,0.6554587535412855,C0025517,False,,,,,,,,
mm_0003169,Llama3-OpenBioLLM-8B,0.0,0.9905428290367126,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1516924,True,,,,,,,,
mm_0003169,Meta-Llama-3-8B-Instruct,0.0,0.9905428290367126,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1516924,True,,,,,,,,
mm_0003169,Mistral-7B-Instruct-v0.1,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1516924,False,,,,,,,,
mm_0003169,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1447749,True,5.0,1.0,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0.0
mm_0004408,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1257990,True,5.0,1.0,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0.0
mm_0004408,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1257990,True,5.0,1.0,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0.0
mm_0004408,BioMistral-7B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0025424,True,,,,,,,,
mm_0004408,FLAN-T5-base,0.0,0.9049180746078492,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C1720692,False,,,,,,,,
mm_0004408,Llama3-OpenBioLLM-8B,0.0,0.9605551958084106,sapbert_full_len3,5,5,0,4,False,3,1.5219280948873621,0.6554587535412855,C0025519,False,,,,,,,,
mm_0004408,Meta-Llama-3-8B-Instruct,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0600688,True,,,,,,,,
mm_0004408,Mistral-7B-Instruct-v0.1,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0025424,False,,,,,,,,
mm_0004408,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1447749,True,5.0,1.0,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0.0
mm_0004613,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C3714500,True,5.0,1.0,"{""C3714500"": 5}",-0.0,-0.0,0.0,C3714500,0.0
mm_0004613,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1707887,False,5.0,2.0,"{""UMLS:C1257990"": 2, ""UMLS:C1707887"": 3}",0.9709505944546686,0.4181656600790516,0.0,UMLS:C1707887,0.0
mm_0004613,BioMistral-7B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C0163159,False,,,,,,,,
mm_0004613,FLAN-T5-base,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0036442,True,,,,,,,,
mm_0004613,Llama3-OpenBioLLM-8B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,3,1.3709505944546687,0.5904362833084089,C0871117,False,,,,,,,,
mm_0004613,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0700327,True,,,,,,,,
mm_0004613,Mistral-7B-Instruct-v0.1,0.0,0.9999997615814208,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0700327,True,,,,,,,,
mm_0004613,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C1839576,False,5.0,2.0,"{""C1839576"": 4, ""C1447749"": 1}",0.7219280948873623,0.3109175070825711,0.0,C1839576,0.0
mm_0007146,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1257990,False,5.0,2.0,"{""UMLS:C1257990"": 3, ""UMLS:C0242193"": 2}",0.9709505944546686,0.4181656600790516,0.0,UMLS:C1257990,0.0
mm_0007146,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1257990,True,5.0,1.0,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0.0
mm_0007146,BioMistral-7B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0023928,False,,,,,,,,
mm_0007146,FLAN-T5-base,0.0,0.9765360951423644,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C4552474,False,,,,,,,,
mm_0007146,Llama3-OpenBioLLM-8B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0023928,True,,,,,,,,
mm_0007146,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0023928,True,,,,,,,,
mm_0007146,Mistral-7B-Instruct-v0.1,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0023928,False,,,,,,,,
mm_0007146,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1447749,False,5.0,2.0,"{""C1447749"": 3, ""C1839576"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1447749,0.0
mm_0007303,BERT-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1257990,True,7.0,1.0,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0.0
mm_0007303,BioBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C2935436,True,7.0,1.0,"{""C2935436"": 7}",-0.0,-0.0,0.0,C2935436,0.0
mm_0007303,BioMistral-7B,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.9852281360342515,0.35094534299644053,C1700874,False,,,,,,,,
mm_0007303,FLAN-T5-base,0.0,0.8578688502311707,sapbert_full_len3,7,7,0,6,False,2,0.9852281360342515,0.35094534299644053,C1540289,False,,,,,,,,
mm_0007303,Llama3-OpenBioLLM-8B,0.0,0.9999998807907104,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0282460,True,,,,,,,,
mm_0007303,Meta-Llama-3-8B-Instruct,0.0,0.9613177180290222,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0007134,True,,,,,,,,
mm_0007303,Mistral-7B-Instruct-v0.1,0.0,0.9999998211860656,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1700874,True,,,,,,,,
mm_0007303,PubMedBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1839576,True,7.0,1.0,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0.0
mm_0007332,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1839576,False,5.0,2.0,"{""C1839576"": 3, ""C1739108"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1839576,0.0
mm_0007332,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C5392105,True,5.0,1.0,"{""C5392105"": 5}",-0.0,-0.0,0.0,C5392105,0.0
mm_0007332,BioMistral-7B,1.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0015672,True,,,,,,,,
mm_0007332,FLAN-T5-base,1.0,1.0,sapbert_full_len3,5,5,0,4,False,3,1.3709505944546687,0.5904362833084089,C0015672,False,,,,,,,,
mm_0007332,Llama3-OpenBioLLM-8B,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C0041755,False,,,,,,,,
mm_0007332,Meta-Llama-3-8B-Instruct,0.0,0.9999999403953552,sapbert_full_len3,5,5,0,4,False,4,1.9219280948873623,0.8277293767706428,C0559546,False,,,,,,,,
mm_0007332,Mistral-7B-Instruct-v0.1,1.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0015672,True,,,,,,,,
mm_0007332,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C1839576,True,5.0,1.0,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0.0
mm_0007533,BERT-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1431519,False,5.0,2.0,"{""C1431519"": 3, ""UMLS:C1283169"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1431519,0.0
mm_0007533,BioBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.7219280948873623,0.31091750708257115,C1447749,False,5.0,2.0,"{""C0265267"": 1, ""C1447749"": 4}",0.7219280948873623,0.3109175070825711,0.0,C1447749,0.0
mm_0007533,BioMistral-7B,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C0031865,False,,,,,,,,
mm_0007533,FLAN-T5-base,0.0,1.0,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0031865,True,,,,,,,,
mm_0007533,Llama3-OpenBioLLM-8B,1.0,0.8500974774360657,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0010182,True,,,,,,,,
mm_0007533,Meta-Llama-3-8B-Instruct,0.0,0.8730440735816956,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0031865,True,,,,,,,,
mm_0007533,Mistral-7B-Instruct-v0.1,0.0,0.9999998807907104,sapbert_full_len3,5,5,0,4,False,1,-0.0,-0.0,C0031865,True,,,,,,,,
mm_0007533,PubMedBERT,0.0,1.0,sapbert_full_len3,5,5,0,4,False,2,0.9709505944546686,0.4181656600790516,C1447749,False,5.0,2.0,"{""C1447749"": 3, ""C1839576"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1447749,0.0
mm_0007731,BERT-base,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1447749,True,6.0,1.0,"{""C1447749"": 6}",-0.0,-0.0,0.0,C1447749,0.0
mm_0007731,BioBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1868801,True,6.0,1.0,"{""C1868801"": 6}",-0.0,-0.0,0.0,C1868801,0.0
mm_0007731,BioMistral-7B,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0007203,True,,,,,,,,
mm_0007731,FLAN-T5-base,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0007203,True,,,,,,,,
mm_0007731,Llama3-OpenBioLLM-8B,0.0,0.9515214562416076,sapbert_full_len3,6,6,0,5,False,2,0.6500224216483541,0.25146299858006066,C0282440,False,,,,,,,,
mm_0007731,Meta-Llama-3-8B-Instruct,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0007203,True,,,,,,,,
mm_0007731,Mistral-7B-Instruct-v0.1,0.0,0.9999998807907104,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C0007203,True,,,,,,,,
mm_0007731,PubMedBERT,0.0,1.0,sapbert_full_len3,6,6,0,5,False,1,-0.0,-0.0,C1839576,True,6.0,1.0,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0.0
mm_0007841,BERT-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0027609,True,7.0,1.0,"{""C0027609"": 7}",-0.0,-0.0,0.0,C0027609,0.0
mm_0007841,BioBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C1257990,False,7.0,2.0,"{""UMLS:C1257990"": 6, ""C0027609"": 1}",0.5916727785823275,0.2107580961471984,0.0,UMLS:C1257990,0.0
mm_0007841,BioMistral-7B,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C0038661,False,,,,,,,,
mm_0007841,FLAN-T5-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C0038661,False,,,,,,,,
mm_0007841,Llama3-OpenBioLLM-8B,0.0,0.9999998807907104,sapbert_full_len3,7,7,0,6,False,3,1.5566567074628228,0.5544923070581674,C0035648,False,,,,,,,,
mm_0007841,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C0038661,False,,,,,,,,
mm_0007841,Mistral-7B-Instruct-v0.1,0.0,0.9999998807907104,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C0038661,False,,,,,,,,
mm_0007841,PubMedBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.863120568566631,0.30744974986419643,C1839576,False,7.0,2.0,"{""C1839576"": 5, ""C1447749"": 2}",0.863120568566631,0.3074497498641964,0.0,C1839576,0.0
mm_0008028,BERT-base,0.0,1.0,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C0203379,True,4.0,1.0,"{""C0203379"": 4}",-0.0,-0.0,0.0,C0203379,0.0
mm_0008028,BioBERT,0.0,1.0,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C1707887,True,4.0,1.0,"{""UMLS:C1707887"": 4}",-0.0,-0.0,0.0,UMLS:C1707887,0.0
mm_0008028,BioMistral-7B,0.0,1.0,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C1504490,True,,,,,,,,
mm_0008028,FLAN-T5-base,1.0,1.0,sapbert_full_len3,4,4,0,3,False,2,1.0,0.5,C0870071,False,,,,,,,,
mm_0008028,Llama3-OpenBioLLM-8B,1.0,0.7703964710235596,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C0870071,True,,,,,,,,
mm_0008028,Meta-Llama-3-8B-Instruct,1.0,0.8834714293479919,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C0870071,True,,,,,,,,
mm_0008028,Mistral-7B-Instruct-v0.1,1.0,0.7703964710235596,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C0870071,True,,,,,,,,
mm_0008028,PubMedBERT,0.0,1.0,sapbert_full_len3,4,4,0,3,False,1,-0.0,-0.0,C1447749,True,4.0,1.0,"{""C1447749"": 4}",-0.0,-0.0,0.0,C1447749,0.0
mm_0008123,BERT-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C0243095,False,7.0,2.0,"{""UMLS:C0444254"": 1, ""UMLS:C0243095"": 6}",0.5916727785823275,0.2107580961471984,0.0,UMLS:C0243095,0.0
mm_0008123,BioBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C1257990,False,7.0,2.0,"{""UMLS:C1257990"": 6, ""UMLS:C1707887"": 1}",0.5916727785823275,0.2107580961471984,0.0,UMLS:C1257990,0.0
mm_0008123,BioMistral-7B,0.0,0.8698300123214722,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1705846,True,,,,,,,,
mm_0008123,FLAN-T5-base,0.0,0.8698133826255798,sapbert_full_len3,7,7,0,6,False,2,0.863120568566631,0.30744974986419643,C1705846,False,,,,,,,,
mm_0008123,Llama3-OpenBioLLM-8B,0.0,0.9021433591842652,sapbert_full_len3,7,7,0,6,False,4,1.9502120649147465,0.6946795539074094,C2070230,False,,,,,,,,
mm_0008123,Meta-Llama-3-8B-Instruct,0.0,1.0,sapbert_full_len3,7,7,0,6,False,3,1.5566567074628228,0.5544923070581674,C0563538,False,,,,,,,,
mm_0008123,Mistral-7B-Instruct-v0.1,0.0,1.0,sapbert_full_len3,7,7,0,6,False,5,2.235926350629032,0.7964530359382728,C0591531,False,,,,,,,,
mm_0008123,PubMedBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1839576,True,7.0,1.0,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0.0
mm_0008874,BERT-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0282597,True,7.0,1.0,"{""C0282597"": 7}",-0.0,-0.0,0.0,C0282597,0.0
mm_0008874,BioBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.5916727785823275,0.21075809614719848,C1257990,False,7.0,2.0,"{""UMLS:C1257990"": 6, ""C1447749"": 1}",0.5916727785823275,0.2107580961471984,0.0,UMLS:C1257990,0.0
mm_0008874,BioMistral-7B,0.0,0.9999998807907104,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0075338,True,,,,,,,,
mm_0008874,FLAN-T5-base,0.0,0.9999999403953552,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0108136,True,,,,,,,,
mm_0008874,Llama3-OpenBioLLM-8B,0.0,0.9999999403953552,sapbert_full_len3,7,5,2,6,False,1,-0.0,-0.0,C0108136,True,,,,,,,,
mm_0008874,Meta-Llama-3-8B-Instruct,0.0,1.0000001192092896,sapbert_full_len3,7,7,0,6,False,2,0.863120568566631,0.30744974986419643,C4553888,False,,,,,,,,
mm_0008874,Mistral-7B-Instruct-v0.1,0.0,0.7352558374404907,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1157879,True,,,,,,,,
mm_0008874,PubMedBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.9852281360342515,0.35094534299644053,C1447749,False,7.0,2.0,"{""C1839576"": 3, ""C1447749"": 4}",0.9852281360342516,0.3509453429964405,0.0,C1447749,0.0
mm_0008935,BERT-base,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C1257990,True,7.0,1.0,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0.0
mm_0008935,BioBERT,0.0,1.0,sapbert_full_len3,7,7,0,6,False,1,-0.0,-0.0,C0752615,True,7.0,1.0,"{""C0752615"": 7}",-0.0,-0.0,0.0,C0752615,0.0
mm_0008935,BioMistral-7B,0.0,0.9999998807907104,sapbert_full_len3,7,7,0,6,False,2,0.863120568566631,0.30744974986419643,C5910003,False,,,,,,,,
mm_0008935,FLAN-T5-base,1.0,1.0,sapbert_full_len3,7,7,0,6,False,2,0.9852281360342515,0.35094534299644053,C1519595,False,,,,,,,,
mm_0008935,Llama3-OpenBioLLM-8B,1.0,1.0,sapbert_full_len3,7,7,0,6,False,3,1.3787834934861753,0.49113258984568253,C0040649,False,,,,,,,,
