instance_id,model_name,n_variants,n_clusters,cluster_distribution,semantic_entropy,normalised_semantic_entropy,mean_accuracy,dominant_cluster,instability_flag
mm_0009327,BioBERT,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0009327,PubMedBERT,7,1,"{""C1447749"": 7}",-0.0,-0.0,0.0,C1447749,0
mm_0009884,BERT-base,7,1,"{""C0169661"": 7}",-0.0,-0.0,0.0,C0169661,0
mm_0009884,BioBERT,7,3,"{""C0008396"": 4, ""C1447749"": 1, ""UMLS:C1257990"": 2}",1.3787834934861753,0.49113258984568253,0.0,C0008396,0
mm_0009884,PubMedBERT,7,2,"{""C1839576"": 1, ""C1447749"": 6}",0.5916727785823275,0.21075809614719848,0.0,C1447749,0
mm_0010371,BERT-base,5,2,"{""C1312419"": 3, ""UMLS:C1257990"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1312419,0
mm_0010371,BioBERT,5,3,"{""C0008396"": 3, ""C0059563"": 1, ""UMLS:C1707887"": 1}",1.3709505944546687,0.5904362833084089,0.0,C0008396,1
mm_0010371,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0011144,BERT-base,7,2,"{""UMLS:C0919821"": 5, ""C1447749"": 2}",0.863120568566631,0.30744974986419643,0.0,UMLS:C0919821,0
mm_0011144,BioBERT,7,1,"{""UMLS:C0919821"": 7}",-0.0,-0.0,0.0,UMLS:C0919821,0
mm_0011144,PubMedBERT,7,1,"{""C1447749"": 7}",-0.0,-0.0,0.0,C1447749,0
mm_0011490,BERT-base,5,1,"{""C0018966"": 5}",-0.0,-0.0,0.0,C0018966,0
mm_0011490,BioBERT,5,1,"{""UMLS:C1100347"": 5}",-0.0,-0.0,1.0,UMLS:C1100347,0
mm_0011490,PubMedBERT,5,1,"{""C0018966"": 5}",-0.0,-0.0,0.0,C0018966,0
mm_0011728,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0011728,BioBERT,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0011728,PubMedBERT,7,1,"{""C1431322"": 7}",-0.0,-0.0,0.0,C1431322,0
mm_0013400,BERT-base,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0013400,BioBERT,5,1,"{""C1999375"": 5}",-0.0,-0.0,0.0,C1999375,0
mm_0013400,PubMedBERT,5,1,"{""C1999375"": 5}",-0.0,-0.0,0.0,C1999375,0
mm_0013465,BERT-base,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0013465,BioBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0013465,PubMedBERT,5,2,"{""C1839576"": 2, ""C1447749"": 3}",0.9709505944546686,0.4181656600790516,0.0,C1447749,0
mm_0014062,BERT-base,7,1,"{""C1739108"": 7}",-0.0,-0.0,0.0,C1739108,0
mm_0014062,BioBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0014062,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0014155,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0014155,BioBERT,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0014155,PubMedBERT,7,2,"{""UMLS:C1423931"": 5, ""UMLS:C1257990"": 2}",0.863120568566631,0.30744974986419643,0.0,UMLS:C1423931,0
mm_0014726,BERT-base,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0014726,BioBERT,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0014726,PubMedBERT,5,1,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0
mm_0015061,BERT-base,3,1,"{""UMLS:C1257990"": 3}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0015061,BioBERT,3,1,"{""C0075128"": 3}",-0.0,-0.0,0.0,C0075128,0
mm_0015061,PubMedBERT,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0,C1839576,0
mm_0015627,BERT-base,7,3,"{""C0242264"": 3, ""UMLS:C2347609"": 2, ""C3178916"": 2}",1.5566567074628228,0.5544923070581674,0.0,C0242264,1
mm_0015627,BioBERT,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0015627,PubMedBERT,7,2,"{""C1839576"": 4, ""UMLS:C1257990"": 3}",0.9852281360342515,0.35094534299644053,0.0,C1839576,0
mm_0015640,BERT-base,5,2,"{""C1431519"": 4, ""UMLS:C1257990"": 1}",0.7219280948873623,0.31091750708257115,0.0,C1431519,0
mm_0015640,BioBERT,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0015640,PubMedBERT,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0015817,BERT-base,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0,C1839576,0
mm_0015817,BioBERT,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0,C1839576,0
mm_0015817,PubMedBERT,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0,C1839576,0
mm_0016164,BERT-base,8,2,"{""C4042892"": 7, ""UMLS:C1283169"": 1}",0.5435644431995964,0.1811881477331988,0.0,C4042892,0
mm_0016164,BioBERT,8,1,"{""UMLS:C1707887"": 8}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0016164,PubMedBERT,8,1,"{""C1447749"": 8}",-0.0,-0.0,0.0,C1447749,0
mm_0016721,BERT-base,3,1,"{""UMLS:C0242193"": 3}",-0.0,-0.0,0.0,UMLS:C0242193,0
mm_0016721,BioBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0016721,PubMedBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0017862,BERT-base,9,2,"{""UMLS:C1257990"": 7, ""UMLS:C0358514"": 2}",0.7642045065086203,0.24107968048484052,0.0,UMLS:C1257990,0
mm_0017862,BioBERT,9,1,"{""UMLS:C1257990"": 9}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0017862,PubMedBERT,9,3,"{""UMLS:C1824675"": 3, ""UMLS:C1257990"": 4, ""C1839576"": 2}",1.5304930567574824,0.48281680357141255,0.0,UMLS:C1257990,0
mm_0018144,BERT-base,7,1,"{""C1447749"": 7}",-0.0,-0.0,0.0,C1447749,0
mm_0018144,BioBERT,7,2,"{""C1447749"": 5, ""C0753253"": 2}",0.863120568566631,0.30744974986419643,0.0,C1447749,0
mm_0018144,PubMedBERT,7,2,"{""C1839576"": 5, ""C1447749"": 2}",0.863120568566631,0.30744974986419643,0.0,C1839576,0
mm_0018948,BERT-base,5,1,"{""C1312419"": 5}",-0.0,-0.0,0.0,C1312419,0
mm_0018948,BioBERT,5,2,"{""C0265267"": 3, ""C1312419"": 2}",0.9709505944546686,0.4181656600790516,0.0,C0265267,0
mm_0018948,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0019627,BERT-base,6,1,"{""C1447749"": 6}",-0.0,-0.0,0.0,C1447749,0
mm_0019627,BioBERT,6,1,"{""C1447749"": 6}",-0.0,-0.0,0.0,C1447749,0
mm_0019627,PubMedBERT,6,2,"{""C1447749"": 5, ""C1839576"": 1}",0.6500224216483541,0.25146299858006066,0.0,C1447749,0
mm_0020635,BERT-base,7,2,"{""C0069676"": 2, ""C0059563"": 5}",0.863120568566631,0.30744974986419643,0.0,C0059563,0
mm_0020635,BioBERT,7,1,"{""C0061751"": 7}",-0.0,-0.0,0.0,C0061751,0
mm_0020635,PubMedBERT,7,1,"{""C0018966"": 7}",-0.0,-0.0,0.0,C0018966,0
mm_0020797,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0020797,BioBERT,7,1,"{""C1868801"": 7}",-0.0,-0.0,0.0,C1868801,0
mm_0020797,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0020876,BERT-base,3,1,"{""C1312419"": 3}",-0.0,-0.0,0.0,C1312419,0
mm_0020876,BioBERT,3,2,"{""C1447749"": 1, ""C0265267"": 2}",0.9182958340544896,0.579380164285695,0.0,C0265267,1
mm_0020876,PubMedBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0021148,BERT-base,4,1,"{""C1447749"": 4}",-0.0,-0.0,0.0,C1447749,0
mm_0021148,BioBERT,4,1,"{""C1839576"": 4}",-0.0,-0.0,0.0,C1839576,0
mm_0021148,PubMedBERT,4,1,"{""C1839576"": 4}",-0.0,-0.0,0.0,C1839576,0
mm_0021420,BERT-base,7,2,"{""C1447749"": 5, ""C1739108"": 2}",0.863120568566631,0.30744974986419643,0.0,C1447749,0
mm_0021420,BioBERT,7,1,"{""C1861172"": 7}",-0.0,-0.0,0.0,C1861172,0
mm_0021420,PubMedBERT,7,1,"{""C0015131"": 7}",-0.0,-0.0,0.0,C0015131,0
mm_0021524,BERT-base,6,1,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0021524,BioBERT,6,2,"{""UMLS:C1257990"": 4, ""UMLS:C1707887"": 2}",0.9182958340544896,0.355245321275764,0.0,UMLS:C1257990,0
mm_0021524,PubMedBERT,6,2,"{""C1447749"": 4, ""C1839576"": 2}",0.9182958340544896,0.355245321275764,0.0,C1447749,0
mm_0022106,BERT-base,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0022106,BioBERT,5,1,"{""C0075128"": 5}",-0.0,-0.0,0.0,C0075128,0
mm_0022106,PubMedBERT,5,1,"{""C1431322"": 5}",-0.0,-0.0,0.0,C1431322,0
mm_0022147,BERT-base,3,2,"{""UMLS:C1257990"": 1, ""C1839576"": 2}",0.9182958340544896,0.579380164285695,0.0,C1839576,1
mm_0022147,BioBERT,3,1,"{""C1868801"": 3}",-0.0,-0.0,0.0,C1868801,0
mm_0022147,PubMedBERT,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0,C1839576,0
mm_0023569,BERT-base,5,3,"{""C0030013"": 1, ""C0524984"": 3, ""C1312419"": 1}",1.3709505944546687,0.5904362833084089,0.0,C0524984,1
mm_0023569,BioBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0023569,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0023586,BERT-base,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0023586,BioBERT,5,2,"{""C0265267"": 4, ""C1312419"": 1}",0.7219280948873623,0.31091750708257115,0.0,C0265267,0
mm_0023586,PubMedBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0024314,BERT-base,3,1,"{""UMLS:C0242193"": 3}",-0.0,-0.0,0.0,UMLS:C0242193,0
mm_0024314,BioBERT,3,1,"{""UMLS:C0684224"": 3}",-0.0,-0.0,1.0,UMLS:C0684224,0
mm_0024314,PubMedBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0024549,BERT-base,6,1,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0024549,BioBERT,6,1,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0024549,PubMedBERT,6,1,"{""C1839576"": 6}",-0.0,-0.0,0.0,C1839576,0
mm_0024701,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0024701,BioBERT,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0024701,PubMedBERT,7,2,"{""C1839576"": 3, ""UMLS:C1257990"": 4}",0.9852281360342515,0.35094534299644053,0.0,UMLS:C1257990,0
mm_0024729,BERT-base,4,3,"{""UMLS:C0444254"": 1, ""UMLS:C0242193"": 1, ""C0030201"": 2}",1.5,0.75,0.0,C0030201,1
mm_0024729,BioBERT,4,1,"{""UMLS:C1707887"": 4}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0024729,PubMedBERT,4,1,"{""C1839576"": 4}",-0.0,-0.0,0.0,C1839576,0
mm_0024960,BERT-base,5,2,"{""C0017263"": 3, ""C1512167"": 2}",0.9709505944546686,0.4181656600790516,0.0,C0017263,0
mm_0024960,BioBERT,5,1,"{""C1447749"": 5}",-0.0,-0.0,0.0,C1447749,0
mm_0024960,PubMedBERT,5,2,"{""C1839576"": 3, ""C1447749"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1839576,0
mm_0025176,BERT-base,9,2,"{""UMLS:C1707887"": 4, ""UMLS:C0242193"": 5}",0.9910760598382222,0.3126496871021503,0.0,UMLS:C0242193,0
mm_0025176,BioBERT,9,2,"{""C1447749"": 4, ""UMLS:C1707887"": 5}",0.9910760598382222,0.3126496871021503,0.0,UMLS:C1707887,0
mm_0025176,PubMedBERT,9,1,"{""C1447749"": 9}",-0.0,-0.0,0.0,C1447749,0
mm_0025371,BERT-base,7,1,"{""C0034698"": 7}",-0.0,-0.0,0.0,C0034698,0
mm_0025371,BioBERT,7,2,"{""UMLS:C1257990"": 5, ""UMLS:C1707887"": 2}",0.863120568566631,0.30744974986419643,0.0,UMLS:C1257990,0
mm_0025371,PubMedBERT,7,2,"{""C1839576"": 2, ""C1447749"": 5}",0.863120568566631,0.30744974986419643,0.0,C1447749,0
mm_0026424,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0026424,BioBERT,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0026424,PubMedBERT,7,1,"{""C1447749"": 7}",-0.0,-0.0,0.0,C1447749,0
mm_0026578,BERT-base,3,1,"{""UMLS:C1707887"": 3}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0026578,BioBERT,3,1,"{""C0027609"": 3}",-0.0,-0.0,0.0,C0027609,0
mm_0026578,PubMedBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0027474,BERT-base,3,2,"{""C0280321"": 1, ""UMLS:C1257990"": 2}",0.9182958340544896,0.579380164285695,0.0,UMLS:C1257990,1
mm_0027474,BioBERT,3,2,"{""C0280324"": 1, ""C1431519"": 2}",0.9182958340544896,0.579380164285695,0.0,C1431519,1
mm_0027474,PubMedBERT,3,1,"{""C1839576"": 3}",-0.0,-0.0,0.0,C1839576,0
mm_0027509,BERT-base,6,1,"{""UMLS:C1257990"": 6}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0027509,BioBERT,6,2,"{""C1312419"": 4, ""C1447749"": 2}",0.9182958340544896,0.355245321275764,0.0,C1312419,0
mm_0027509,PubMedBERT,6,2,"{""C1839576"": 4, ""C1447749"": 2}",0.9182958340544896,0.355245321275764,0.0,C1839576,0
mm_0027520,BERT-base,9,1,"{""UMLS:C1257990"": 9}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0027520,BioBERT,9,2,"{""C0034885"": 5, ""UMLS:C1257990"": 4}",0.9910760598382222,0.3126496871021503,0.0,C0034885,0
mm_0027520,PubMedBERT,9,1,"{""C1839576"": 9}",-0.0,-0.0,0.0,C1839576,0
mm_0028097,BERT-base,5,1,"{""C1134421"": 5}",-0.0,-0.0,0.0,C1134421,0
mm_0028097,BioBERT,5,3,"{""C0265267"": 1, ""UMLS:C1015514"": 2, ""C0006121"": 2}",1.5219280948873621,0.6554587535412855,0.0,UMLS:C1015514,1
mm_0028097,PubMedBERT,5,1,"{""UMLS:C0242724"": 5}",-0.0,-0.0,0.0,UMLS:C0242724,0
mm_0028311,BERT-base,5,2,"{""C1136156"": 3, ""UMLS:C1283169"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1136156,0
mm_0028311,BioBERT,5,1,"{""UMLS:C1707887"": 5}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0028311,PubMedBERT,5,2,"{""UMLS:C0035363"": 4, ""UMLS:C1707887"": 1}",0.7219280948873623,0.31091750708257115,0.0,UMLS:C0035363,0
mm_0028386,BERT-base,7,1,"{""C1257965"": 7}",-0.0,-0.0,0.0,C1257965,0
mm_0028386,BioBERT,7,2,"{""C3888018"": 3, ""C0032914"": 4}",0.9852281360342515,0.35094534299644053,0.0,C0032914,0
mm_0028386,PubMedBERT,7,2,"{""C1839576"": 5, ""C1447749"": 2}",0.863120568566631,0.30744974986419643,0.0,C1839576,0
mm_0028492,BERT-base,7,1,"{""UMLS:C1257990"": 7}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0028492,BioBERT,7,1,"{""C1868801"": 7}",-0.0,-0.0,0.0,C1868801,0
mm_0028492,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0028536,BERT-base,3,1,"{""C1312419"": 3}",-0.0,-0.0,0.0,C1312419,0
mm_0028536,BioBERT,3,1,"{""C0265267"": 3}",-0.0,-0.0,0.0,C0265267,0
mm_0028536,PubMedBERT,3,1,"{""C1447749"": 3}",-0.0,-0.0,0.0,C1447749,0
mm_0029538,BERT-base,6,1,"{""UMLS:C0242193"": 6}",-0.0,-0.0,0.0,UMLS:C0242193,0
mm_0029538,BioBERT,6,2,"{""C0027609"": 4, ""C1447749"": 2}",0.9182958340544896,0.355245321275764,0.0,C0027609,0
mm_0029538,PubMedBERT,6,2,"{""C1447749"": 4, ""C1839576"": 2}",0.9182958340544896,0.355245321275764,0.0,C1447749,0
mm_0030505,BERT-base,5,1,"{""UMLS:C1257990"": 5}",-0.0,-0.0,0.0,UMLS:C1257990,0
mm_0030505,BioBERT,5,1,"{""C0008396"": 5}",-0.0,-0.0,0.0,C0008396,0
mm_0030505,PubMedBERT,5,2,"{""C1839576"": 3, ""C0015131"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1839576,0
mm_0030723,BERT-base,5,2,"{""C1431519"": 3, ""C1739108"": 2}",0.9709505944546686,0.4181656600790516,0.0,C1431519,0
mm_0030723,BioBERT,5,3,"{""C1447749"": 2, ""UMLS:C1707887"": 2, ""C0265267"": 1}",1.5219280948873621,0.6554587535412855,0.0,C1447749,1
mm_0030723,PubMedBERT,5,1,"{""C1839576"": 5}",-0.0,-0.0,0.0,C1839576,0
mm_0030830,BERT-base,7,2,"{""C0282597"": 4, ""UMLS:C1257990"": 3}",0.9852281360342515,0.35094534299644053,0.0,C0282597,0
mm_0030830,BioBERT,7,1,"{""UMLS:C1707887"": 7}",-0.0,-0.0,0.0,UMLS:C1707887,0
mm_0030830,PubMedBERT,7,1,"{""C1839576"": 7}",-0.0,-0.0,0.0,C1839576,0
mm_0031319,BERT-base,3,2,"{""C1955876"": 1, ""C1312419"": 2}",0.9182958340544896,0.579380164285695,0.0,C1312419,1
